lgd_state_code,lgd_district_code,district_name,state_name,Demand_Chronic,Demand_Acute,Realizability_Chronic,Realizability_Acute,Demand_Overall,Realizability_Overall,MAI_Overall,MAI_Chronic,MAI_Acute,quadrant_overall,quadrant_chronic,quadrant_acute,confidence_score,MAI_Overall_hist,MAI_Chronic_hist,MAI_Acute_hist,slope_overall,slope_chronic,slope_acute,Future_MAI_Overall_beta_0.2,Future_MAI_Chronic_beta_0.2,Future_MAI_Acute_beta_0.2,Future_MAI_Overall_beta_0.3,Future_MAI_Chronic_beta_0.3,Future_MAI_Acute_beta_0.3,Future_MAI_Overall_beta_0.4,Future_MAI_Chronic_beta_0.4,Future_MAI_Acute_beta_0.4,Future_MAI_Overall,Future_MAI_Chronic,Future_MAI_Acute,Future_Demand_Overall,Future_Realizability_Overall,Future_Demand_Chronic,Future_Realizability_Chronic,Future_Demand_Acute,Future_Realizability_Acute,quadrant_overall_future,quadrant_chronic_future,quadrant_acute_future,census_total_population,literacy_rate,sex_ratio,latrine_access_rate,tap_water_rate,nfhs5_high_blood_sugar_pct,nfhs5_elevated_bp_pct,nfhs5_women_overweight_pct,nfhs5_women_tobacco_pct,nfhs5_men_tobacco_pct,nfhs5_women_alcohol_pct,nfhs5_men_alcohol_pct,nfhs5_child_diarrhoea_pct,nfhs5_child_ari_pct,nfhs5_improved_sanitation_pct,nfhs5_improved_water_pct,nfhs5_child_underweight_pct,nightlight_log_mean,nightlight_growth_rate,census_total_population__imputed_state_avg,census_total_population__imputed_national_avg,literacy_rate__imputed_state_avg,literacy_rate__imputed_national_avg,sex_ratio__imputed_state_avg,sex_ratio__imputed_national_avg,latrine_access_rate__imputed_state_avg,latrine_access_rate__imputed_national_avg,tap_water_rate__imputed_state_avg,tap_water_rate__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_state_avg,nfhs5_high_blood_sugar_pct__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_nfhs4_trend_adjusted,nfhs5_elevated_bp_pct__imputed_state_avg,nfhs5_elevated_bp_pct__imputed_national_avg,nfhs5_elevated_bp_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_overweight_pct__imputed_state_avg,nfhs5_women_overweight_pct__imputed_national_avg,nfhs5_women_overweight_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_tobacco_pct__imputed_state_avg,nfhs5_women_tobacco_pct__imputed_national_avg,nfhs5_women_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_tobacco_pct__imputed_state_avg,nfhs5_men_tobacco_pct__imputed_national_avg,nfhs5_men_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_alcohol_pct__imputed_state_avg,nfhs5_women_alcohol_pct__imputed_national_avg,nfhs5_women_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_alcohol_pct__imputed_state_avg,nfhs5_men_alcohol_pct__imputed_national_avg,nfhs5_men_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_diarrhoea_pct__imputed_state_avg,nfhs5_child_diarrhoea_pct__imputed_national_avg,nfhs5_child_diarrhoea_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_ari_pct__imputed_state_avg,nfhs5_child_ari_pct__imputed_national_avg,nfhs5_child_ari_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_sanitation_pct__imputed_state_avg,nfhs5_improved_sanitation_pct__imputed_national_avg,nfhs5_improved_sanitation_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_water_pct__imputed_state_avg,nfhs5_improved_water_pct__imputed_national_avg,nfhs5_improved_water_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_underweight_pct__imputed_state_avg,nfhs5_child_underweight_pct__imputed_national_avg,nfhs5_child_underweight_pct__imputed_nfhs4_trend_adjusted,nightlight_log_mean__imputed_state_avg,nightlight_log_mean__imputed_national_avg,nightlight_growth_rate__imputed_state_avg,nightlight_growth_rate__imputed_national_avg
36,501,Adilabad,Telangana,0.3327679944080548,0.555855063058436,0.3019452617958774,0.403028869065243,0.4443115287332454,0.3524870654305602,0.3957449518315397,0.3169822064230564,0.4733134663503995,Deprioritize,Deprioritize,Underserved,1.0,0.2538855828765024,0.153518199359669,0.3285673969551944,0.0354648422387593,0.0408660017658468,0.0361865173488012,0.4028379202792915,0.3251554067762258,0.4805507698201597,0.4063844045031675,0.3292420069528105,0.4841694215550399,0.4099308887270434,0.3333286071293951,0.48778807328992,0.4063844045031675,0.3292420069528105,0.4841694215550399,0.4594887127877468,0.3589427721172227,0.3508677045355221,0.3052602694225127,0.5681097210399716,0.4126252748119328,Deprioritize,Deprioritize,Underserved,2741239.0,54.112282803506005,1001.4931399528476,29.3,27.6,10.8,23.1,15.7,11.0,29.7,2.1,28.3,10.3,1.7,50.8,95.7,52.0,0.6326849767289444,0.035940452865071,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,667,Agar-Malwa,Madhya Pradesh,0.2880810699230687,0.5053173701009281,0.2866810223555164,0.3295992199224832,0.3966992200119984,0.3081401211389998,0.3496268664022316,0.2873801935534464,0.4081080873966438,Deprioritize,Deprioritize,Star,0.368421052631579,0.2547553255790897,0.0267693115764081,0.3478662971345272,0.0237178852057854,0.0651527204942595,0.0150604475655291,0.3543704434433887,0.3004107376522983,0.4111201769097496,0.3567422319639672,0.3069260097017243,0.4126262216663025,0.3591140204845458,0.3134412817511502,0.4141322664228554,0.3567422319639672,0.3069260097017243,0.4126262216663025,0.4055975321891333,0.3137450299506777,0.3094705051789261,0.2895763017410742,0.5017245591993404,0.3379137581602812,Deprioritize,Deprioritize,Star,1512681.0,59.14082347831433,938.0425869932866,23.1,12.9,12.344594924812029,18.95930469924812,15.36825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,44.04138315988647,0.4562958646616536,59.25000319548872,88.56777612781956,47.24383515037594,0.6622789838625962,0.0285768029352283,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
9,118,Agra,Uttar Pradesh,0.3576899670495409,0.5376996402578511,0.323155510646047,0.3811916030093193,0.447694803653696,0.3521735568276831,0.3970721236450543,0.3399845348760177,0.4527323578091415,Deprioritize,Underserved,Deprioritize,0.368421052631579,0.3061020799364988,0.1472738116177336,0.3978780108654614,0.0227425109271388,0.048177680814571,0.01371358673592,0.4016206258304821,0.3496200710389319,0.4554750751563255,0.4038948769231959,0.354437839120389,0.4568464338299175,0.4061691280159098,0.3592556072018461,0.4582177925035095,0.4038948769231959,0.354437839120389,0.4568464338299175,0.4565931158308309,0.3572300242664748,0.3790794023053984,0.3249539072858324,0.5341068293562634,0.3895061412471173,Deprioritize,Underserved,Deprioritize,4418797.0,60.66153299189803,868.4502398144909,46.3,28.4,11.344594924812029,18.25930469924812,25.26825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,33.44138315988646,2.656295864661653,67.25000319548872,76.66777612781955,33.44383515037593,1.3154972565268717,0.0167818439434001,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
24,438,Ahmedabad,Gujarat,0.5152709310924622,0.5070364642225642,0.5935123617759723,0.7680269198570027,0.5111536976575133,0.6807696408164875,0.5898965325854397,0.5530096448229376,0.6240333756074601,Star,Star,Star,1.0,0.4322051599618,0.3220055850690805,0.5402387662402633,0.0394228431559099,0.0577510149384642,0.0209486523417991,0.5977811012166218,0.5645598478106304,0.6282231060758199,0.6017233855322127,0.5703349493044768,0.6303179713099999,0.6056656698478037,0.5761100507983232,0.6324128365441798,0.6017233855322127,0.5703349493044768,0.6303179713099999,0.5274780260152436,0.684092136889762,0.538954285431597,0.5990440968066937,0.5160017665988902,0.7691401769728303,Star,Star,Star,7214225.0,75.34780243200066,904.4688152297844,83.0,67.0,20.3,18.5,30.1,6.2,33.4,0.3,3.6,1.8,1.0,86.4,98.7,34.0,1.4996590325058126,0.0531865970066339,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,466,Ahmednagar,Maharashtra,0.3947052684630182,0.567515485990266,0.4483642957199242,0.5365915449003776,0.481110377226642,0.4924779203101509,0.4867609659948185,0.4206801037740729,0.5518369427488572,Star,Star,Star,1.0,0.3506755150469361,0.1681151656237677,0.4741657931587799,0.0340213627369705,0.0631412345375762,0.0194177873975193,0.4935652385422126,0.4333083506815881,0.5557205002283611,0.4969673748159097,0.4396224741353458,0.557662278968113,0.5003695110896067,0.4459365975891034,0.5596040577078649,0.4969673748159097,0.4396224741353458,0.557662278968113,0.4944235192932855,0.4990351622708419,0.4188671267827202,0.4527733378102797,0.5699799118038511,0.545296986731404,Star,Star,Star,4543159.0,69.37661657890469,939.1798363087298,46.1,40.3,11.0,23.6,23.0,14.7,37.7,0.2,10.5,15.9,2.7,79.5,90.0,41.2,0.9469915725290312,0.0445668189000111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,261,Aizawl,Mizoram,0.4869782775075983,0.2412441630134125,0.3147399418606483,0.796818586104731,0.3641112202605054,0.5557792639826896,0.4498504929465151,0.39149906098245,0.4384379464398201,Star,Star,Star,1.0,0.4080994005809837,0.255388444875629,0.5574741503489341,0.0104377730913828,0.0340276540267052,-0.0297590509772785,0.4519380475647916,0.3983045917877911,0.4324861362443644,0.4529818248739299,0.4017073571904616,0.4295102311466365,0.4540256021830682,0.4051101225931321,0.4265343260489087,0.4529818248739299,0.4017073571904616,0.4295102311466365,0.3672496104286776,0.558703164311251,0.5062126653234782,0.3171249397387273,0.2282865555338769,0.8002813888837746,Star,Star,Star,400309.0,84.77270525327405,1008.8774025191952,97.8,57.70000000000001,15.2,23.4,29.7,54.7,68.7,1.0,25.8,7.1,0.8,96.1,98.3,10.911,0.4035490238546493,0.0225054330906306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,86,Ajmer,Rajasthan,0.3547145321566716,0.4906970740970707,0.3435594651888784,0.6075070504747679,0.4227058031268711,0.4755332578318232,0.4483421323780961,0.349092444722697,0.5459871172118533,Star,Star,Star,0.368421052631579,0.347512462980115,0.1438631508007871,0.517198639232299,0.0252074173494952,0.0513073234804774,0.0071971194948885,0.4533836158479952,0.3593539094187925,0.547426541110831,0.4559043575829447,0.3644846417668402,0.5481462530603199,0.4584250993178942,0.369615374114888,0.5488659650098088,0.4559043575829447,0.3644846417668402,0.5481462530603199,0.431604115304006,0.4814103171580786,0.3761039674125291,0.3469990456035912,0.487104263195483,0.615821588712566,Star,Star,Star,2583052.0,59.10345591184382,950.8203778458331,42.3,47.4,13.844594924812029,19.45930469924812,20.568255639097742,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,47.34138315988647,0.6562958646616537,93.85000319548872,91.56777612781956,38.24383515037594,0.932158248179763,0.0322233064878568,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
27,467,Akola,Maharashtra,0.2632195567834332,0.5647540244145081,0.426544511315604,0.551500132525834,0.4139867905989706,0.489022321920719,0.4499430870490346,0.3350744054936148,0.5580877344191496,Niche,Niche,Star,1.0,0.3673947156165341,0.1549481725552769,0.522908838285748,0.0206370928581251,0.0450315582345844,0.0087947240333504,0.4540705056206596,0.3440807171405317,0.5598466792258197,0.4561342149064721,0.3485838729639901,0.5607261516291547,0.4581979241922846,0.3530870287874486,0.5616056240324898,0.4561342149064721,0.3485838729639901,0.5607261516291547,0.4217452556714862,0.4930996640685434,0.2782107451953442,0.430105380693689,0.5652797661476282,0.5560939474433978,Niche,Niche,Star,1813906.0,77.80342531531403,945.553846582877,46.1,45.8,9.6,19.4,19.6,10.4,44.0,0.2,12.9,12.0,6.5,69.5,95.1,30.8,0.7725293030740228,0.0390252293711104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,554,Alappuzha,Kerala,0.6576171707817463,0.4020185079423681,0.598725991086813,0.6957832498338568,0.5298178393620572,0.6472546204603349,0.5855997306432125,0.6274810693017018,0.5288834880666052,Star,Star,Star,1.0,0.3335154742670781,0.2759040989960353,0.3899435056632922,0.0630210640940335,0.0878942425764166,0.0347349956008282,0.5982039434620192,0.6450599178169851,0.5358304871867708,0.6045060498714225,0.6538493420746267,0.5393039867468538,0.6108081562808259,0.6626387663322684,0.5427774863069366,0.6045060498714225,0.6538493420746267,0.5393039867468538,0.5554847548853006,0.6513275797982815,0.6960955097668823,0.6041400502960353,0.4148740000037189,0.6985151093005275,Star,Star,Star,2127789.0,84.77270525327405,1100.1883250324238,92.9,25.7,23.927999999999976,32.1,41.9,1.8,18.3,0.2,29.0,4.5,2.8,99.2,98.4,20.4,1.124086549485281,0.0575768821932233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,119,Aligarh,Uttar Pradesh,0.3562882324165063,0.5402858349096049,0.4060806917986958,0.4925288686468795,0.4482870336630556,0.4493047802227876,0.4487956184464199,0.3803705718104772,0.5158549902966554,Niche,Star,Niche,0.368421052631579,0.3445430111084921,0.1551468098045839,0.473807455023279,0.0260631518344819,0.0563059405014733,0.0105118838183441,0.4540082488133163,0.3916317599107718,0.5179573670603242,0.4566145639967645,0.3972623539609192,0.5190085554421586,0.4592208791802127,0.4028929480110665,0.520059743823993,0.4566145639967645,0.3972623539609192,0.5190085554421586,0.4571853458401905,0.4559938899907897,0.3776776676723637,0.411144373096902,0.5366930240080172,0.5008434068846775,Niche,Star,Niche,3673889.0,56.957817723943215,882.1191231949246,42.0,21.8,12.64459492481203,18.75930469924812,22.46825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,43.04138315988647,2.156295864661653,62.85000319548872,103.16777612781956,36.84383515037594,1.1485491737379117,0.0399254700958225,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
