lgd_state_code,lgd_district_code,district_name,state_name,Demand_Chronic,Demand_Acute,Realizability_Chronic,Realizability_Acute,Demand_Overall,Realizability_Overall,MAI_Overall,MAI_Chronic,MAI_Acute,quadrant_overall,quadrant_chronic,quadrant_acute,confidence_score,MAI_Overall_hist,MAI_Chronic_hist,MAI_Acute_hist,slope_overall,slope_chronic,slope_acute,Future_MAI_Overall_beta_0.2,Future_MAI_Chronic_beta_0.2,Future_MAI_Acute_beta_0.2,Future_MAI_Overall_beta_0.3,Future_MAI_Chronic_beta_0.3,Future_MAI_Acute_beta_0.3,Future_MAI_Overall_beta_0.4,Future_MAI_Chronic_beta_0.4,Future_MAI_Acute_beta_0.4,Future_MAI_Overall,Future_MAI_Chronic,Future_MAI_Acute,Future_Demand_Overall,Future_Realizability_Overall,Future_Demand_Chronic,Future_Realizability_Chronic,Future_Demand_Acute,Future_Realizability_Acute,quadrant_overall_future,quadrant_chronic_future,quadrant_acute_future
36,501,Adilabad,Telangana,0.3327679944080548,0.555855063058436,0.3019452617958774,0.403028869065243,0.4443115287332454,0.3524870654305602,0.3957449518315397,0.3169822064230564,0.4733134663503995,Deprioritize,Deprioritize,Underserved,1.0,0.2538855828765024,0.15351819935966907,0.3285673969551944,0.035464842238759314,0.040866001765846836,0.03618651734880128,0.40283792027929155,0.3251554067762258,0.48055076982015976,0.4063844045031675,0.3292420069528105,0.4841694215550399,0.4099308887270434,0.33332860712939516,0.48778807328992,0.4063844045031675,0.3292420069528105,0.4841694215550399,0.45948871278774683,0.35894277211722275,0.35086770453552213,0.3052602694225127,0.5681097210399716,0.41262527481193284,Deprioritize,Deprioritize,Underserved
23,667,Agar-Malwa,Madhya Pradesh,0.2880810699230687,0.5053173701009281,0.2866810223555164,0.3295992199224832,0.3966992200119984,0.3081401211389998,0.3496268664022316,0.2873801935534464,0.4081080873966438,Deprioritize,Deprioritize,Star,0.368421052631579,0.25475532557908975,0.02676931157640811,0.3478662971345272,0.023717885205785466,0.06515272049425958,0.015060447565529142,0.3543704434433887,0.3004107376522983,0.4111201769097496,0.35674223196396726,0.3069260097017243,0.41262622166630253,0.3591140204845458,0.3134412817511502,0.41413226642285544,0.35674223196396726,0.3069260097017243,0.41262622166630253,0.4055975321891333,0.3137450299506777,0.30947050517892616,0.2895763017410742,0.5017245591993404,0.33791375816028124,Deprioritize,Deprioritize,Star
9,118,Agra,Uttar Pradesh,0.3576899670495409,0.5376996402578511,0.323155510646047,0.3811916030093193,0.447694803653696,0.3521735568276831,0.3970721236450543,0.3399845348760177,0.4527323578091415,Deprioritize,Underserved,Deprioritize,0.368421052631579,0.30610207993649885,0.14727381161773367,0.3978780108654614,0.02274251092713886,0.04817768081457101,0.013713586735920033,0.4016206258304821,0.3496200710389319,0.4554750751563255,0.4038948769231959,0.354437839120389,0.4568464338299175,0.4061691280159098,0.3592556072018461,0.4582177925035095,0.4038948769231959,0.354437839120389,0.4568464338299175,0.4565931158308309,0.3572300242664748,0.37907940230539844,0.3249539072858324,0.5341068293562634,0.38950614124711735,Deprioritize,Underserved,Deprioritize
24,438,Ahmedabad,Gujarat,0.5152709310924622,0.5070364642225642,0.5935123617759723,0.7680269198570027,0.5111536976575133,0.6807696408164875,0.5898965325854397,0.5530096448229376,0.6240333756074601,Star,Star,Star,1.0,0.4322051599618,0.3220055850690805,0.5402387662402633,0.03942284315590994,0.05775101493846427,0.020948652341799184,0.5977811012166218,0.5645598478106304,0.6282231060758199,0.6017233855322127,0.5703349493044768,0.6303179713099999,0.6056656698478037,0.5761100507983232,0.6324128365441798,0.6017233855322127,0.5703349493044768,0.6303179713099999,0.5274780260152436,0.684092136889762,0.538954285431597,0.5990440968066937,0.5160017665988902,0.7691401769728303,Star,Star,Star
27,466,Ahmednagar,Maharashtra,0.3947052684630182,0.567515485990266,0.4483642957199242,0.5365915449003776,0.481110377226642,0.4924779203101509,0.4867609659948185,0.4206801037740729,0.5518369427488572,Star,Star,Star,1.0,0.35067551504693617,0.16811516562376774,0.4741657931587799,0.03402136273697058,0.06314123453757628,0.01941778739751933,0.4935652385422126,0.43330835068158813,0.5557205002283611,0.4969673748159097,0.4396224741353458,0.557662278968113,0.5003695110896067,0.4459365975891034,0.5596040577078649,0.4969673748159097,0.4396224741353458,0.557662278968113,0.49442351929328554,0.4990351622708419,0.4188671267827202,0.45277333781027973,0.5699799118038511,0.545296986731404,Star,Star,Star
15,261,Aizawl,Mizoram,0.4869782775075983,0.2412441630134125,0.3147399418606483,0.796818586104731,0.3641112202605054,0.5557792639826896,0.4498504929465151,0.39149906098245,0.4384379464398201,Star,Star,Star,1.0,0.4080994005809837,0.25538844487562906,0.5574741503489341,0.010437773091382843,0.03402765402670524,-0.029759050977278503,0.45193804756479167,0.3983045917877911,0.4324861362443644,0.4529818248739299,0.4017073571904616,0.42951023114663656,0.4540256021830682,0.4051101225931321,0.4265343260489087,0.4529818248739299,0.4017073571904616,0.42951023114663656,0.3672496104286776,0.558703164311251,0.5062126653234782,0.31712493973872735,0.22828655553387697,0.8002813888837746,Star,Star,Star
8,86,Ajmer,Rajasthan,0.3547145321566716,0.4906970740970707,0.3435594651888784,0.6075070504747679,0.4227058031268711,0.4755332578318232,0.4483421323780961,0.349092444722697,0.5459871172118533,Star,Star,Star,0.368421052631579,0.34751246298011507,0.14386315080078718,0.517198639232299,0.025207417349495262,0.05130732348047746,0.007197119494888576,0.4533836158479952,0.3593539094187925,0.547426541110831,0.4559043575829447,0.36448464176684026,0.5481462530603199,0.4584250993178942,0.369615374114888,0.5488659650098088,0.4559043575829447,0.36448464176684026,0.5481462530603199,0.431604115304006,0.48141031715807864,0.3761039674125291,0.34699904560359124,0.487104263195483,0.615821588712566,Star,Star,Star
27,467,Akola,Maharashtra,0.2632195567834332,0.5647540244145081,0.426544511315604,0.551500132525834,0.4139867905989706,0.489022321920719,0.4499430870490346,0.3350744054936148,0.5580877344191496,Niche,Niche,Star,1.0,0.36739471561653414,0.15494817255527693,0.522908838285748,0.02063709285812511,0.04503155823458446,0.00879472403335041,0.4540705056206596,0.3440807171405317,0.5598466792258197,0.4561342149064721,0.3485838729639901,0.5607261516291547,0.4581979241922846,0.3530870287874486,0.5616056240324898,0.4561342149064721,0.3485838729639901,0.5607261516291547,0.4217452556714862,0.49309966406854344,0.2782107451953442,0.430105380693689,0.5652797661476282,0.5560939474433978,Niche,Niche,Star
32,554,Alappuzha,Kerala,0.6576171707817463,0.4020185079423681,0.598725991086813,0.6957832498338568,0.5298178393620572,0.6472546204603349,0.5855997306432125,0.6274810693017018,0.5288834880666052,Star,Star,Star,1.0,0.3335154742670781,0.2759040989960353,0.3899435056632922,0.06302106409403359,0.08789424257641662,0.03473499560082825,0.5982039434620192,0.6450599178169851,0.5358304871867708,0.6045060498714225,0.6538493420746267,0.5393039867468538,0.6108081562808259,0.6626387663322684,0.5427774863069366,0.6045060498714225,0.6538493420746267,0.5393039867468538,0.5554847548853006,0.6513275797982815,0.6960955097668823,0.6041400502960353,0.41487400000371893,0.6985151093005275,Star,Star,Star
9,119,Aligarh,Uttar Pradesh,0.3562882324165063,0.5402858349096049,0.4060806917986958,0.4925288686468795,0.4482870336630556,0.4493047802227876,0.4487956184464199,0.3803705718104772,0.5158549902966554,Niche,Star,Niche,0.368421052631579,0.34454301110849217,0.15514680980458395,0.473807455023279,0.026063151834481935,0.056305940501473306,0.0105118838183441,0.4540082488133163,0.3916317599107718,0.5179573670603242,0.4566145639967645,0.3972623539609192,0.5190085554421586,0.4592208791802127,0.4028929480110665,0.520059743823993,0.4566145639967645,0.3972623539609192,0.5190085554421586,0.4571853458401905,0.4559938899907897,0.37767766767236377,0.411144373096902,0.5366930240080172,0.5008434068846775,Niche,Star,Niche
