lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes,census_total_population,literacy_rate,sex_ratio,latrine_access_rate,tap_water_rate,nfhs5_high_blood_sugar_pct,nfhs5_elevated_bp_pct,nfhs5_women_overweight_pct,nfhs5_women_tobacco_pct,nfhs5_men_tobacco_pct,nfhs5_women_alcohol_pct,nfhs5_men_alcohol_pct,nfhs5_child_diarrhoea_pct,nfhs5_child_ari_pct,nfhs5_improved_sanitation_pct,nfhs5_improved_water_pct,nfhs5_child_underweight_pct,nightlight_log_mean,nightlight_growth_rate,census_total_population__imputed_state_avg,census_total_population__imputed_national_avg,literacy_rate__imputed_state_avg,literacy_rate__imputed_national_avg,sex_ratio__imputed_state_avg,sex_ratio__imputed_national_avg,latrine_access_rate__imputed_state_avg,latrine_access_rate__imputed_national_avg,tap_water_rate__imputed_state_avg,tap_water_rate__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_state_avg,nfhs5_high_blood_sugar_pct__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_nfhs4_trend_adjusted,nfhs5_elevated_bp_pct__imputed_state_avg,nfhs5_elevated_bp_pct__imputed_national_avg,nfhs5_elevated_bp_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_overweight_pct__imputed_state_avg,nfhs5_women_overweight_pct__imputed_national_avg,nfhs5_women_overweight_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_tobacco_pct__imputed_state_avg,nfhs5_women_tobacco_pct__imputed_national_avg,nfhs5_women_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_tobacco_pct__imputed_state_avg,nfhs5_men_tobacco_pct__imputed_national_avg,nfhs5_men_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_alcohol_pct__imputed_state_avg,nfhs5_women_alcohol_pct__imputed_national_avg,nfhs5_women_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_alcohol_pct__imputed_state_avg,nfhs5_men_alcohol_pct__imputed_national_avg,nfhs5_men_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_diarrhoea_pct__imputed_state_avg,nfhs5_child_diarrhoea_pct__imputed_national_avg,nfhs5_child_diarrhoea_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_ari_pct__imputed_state_avg,nfhs5_child_ari_pct__imputed_national_avg,nfhs5_child_ari_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_sanitation_pct__imputed_state_avg,nfhs5_improved_sanitation_pct__imputed_national_avg,nfhs5_improved_sanitation_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_water_pct__imputed_state_avg,nfhs5_improved_water_pct__imputed_national_avg,nfhs5_improved_water_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_underweight_pct__imputed_state_avg,nfhs5_child_underweight_pct__imputed_national_avg,nfhs5_child_underweight_pct__imputed_nfhs4_trend_adjusted,nightlight_log_mean__imputed_state_avg,nightlight_log_mean__imputed_national_avg,nightlight_growth_rate__imputed_state_avg,nightlight_growth_rate__imputed_national_avg,confidence_score
19,664,Alipurduar,West Bengal,328.0,"boundary_inherited=True; The Alipurduar district was created in 2014 by splitting the Jalpaiguri district in West Bengal, India",3872846.0,64.5205102397565,952.9606709617037,49.7,15.299999999999999,16.75928853754941,24.372332015810276,17.94822134387352,12.327272727272726,47.445454545454545,1.8818181818181818,19.37272727272727,66.81509090909091,5.11304347826087,68.41304347826087,89.26798418972332,25.885956521739136,0.7505620374136527,0.03396494409092678,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
23,639,Alirajpur,Madhya Pradesh,465.0,,728999.0,39.65081649843947,1010.7987488346178,10.5,3.9,12.14459492481203,21.659304699248118,10.968255639097741,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,0.24138315988646752,1.7562958646616535,42.05000319548872,94.46777612781955,51.04383515037594,0.5336615326906021,0.028920242918855168,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
28,745,Alluri Sitharama Raju,Andhra Pradesh,544.0,"boundary_inherited=True; formed on April 4, 2022,from erstwhile Vishakapatnam",4290589.0,59.857725827386396,1005.9698631545974,51.300000000000004,48.2,18.428909090909094,24.659090909090907,32.03213636363637,4.2,22.990909090909092,0.5090909090909091,24.61818181818182,-33.99545454545455,1.8045454545454547,77.42727272727272,105.30877612781956,29.35,0.8171411056254726,0.030421470000736646,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
5,45,Almora,Uttarakhand,64.0,,622506.0,70.11932415109253,1103.1490047414861,55.3,58.8,12.94459492481203,22.35930469924812,12.968255639097741,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,27.941383159886463,3.2562958646616535,89.45000319548872,89.26777612781956,21.14383515037594,0.5199911239915358,0.019561948301533003,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
8,87,Alwar,Rajasthan,104.0,,3674179.0,59.40037216477477,894.8580369732019,27.500000000000004,20.1,10.744594924812029,20.75930469924812,16.76825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,13.341383159886469,2.9562958646616537,64.75000319548872,103.26777612781956,34.24383515037594,1.0383708295031011,0.014522974435027642,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
6,58,Ambala,Haryana,70.0,,1128350.0,72.49745203172775,884.6573342709156,68.7,75.0,12.54459492481203,23.05930469924812,16.46825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,71.03338315988648,1.6562958646616537,112.47400319548868,105.06777612781956,31.543835150375937,1.517410266282005,0.03883419950849297,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
9,121,Ambedkar Nagar,Uttar Pradesh,178.0,,2397888.0,62.010360784156724,977.7863923920125,18.6,18.0,11.04459492481203,20.25930469924812,15.968255639097741,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,32.84138315988647,3.6562958646616535,44.250003195488716,105.26777612781956,39.643835150375935,0.9417139655629564,0.04855887361585225,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
9,640,Amethi,Uttar Pradesh,,"parent_census_2011_code=multiple; boundary_inherited=True; the Amethi district in Uttar Pradesh was formed by merging parts of two other districts, Sultanpur and Rae Bareli",2858047.9178082193,57.259122639585684,908.4998912528966,34.3986301369863,19.078082191780823,13.789010714285714,21.387367857142856,22.730371428571427,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,7.218114285714284,2.4061642857142855,73.04468214285714,92.43333928571428,30.88940357142857,1.0775261112568277,0.041615095443840636,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,0.0
27,468,Amravati,Maharashtra,503.0,,2888445.0,77.96149831483721,950.639803129187,53.7,63.0,10.3,19.8,20.3,9.0,40.8,0.9,18.4,11.6,5.2,75.7,95.8,38.0,0.6676596688291757,0.035009582530228074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
24,439,Amreli,Gujarat,480.0,,1514190.0,65.74201388200952,963.805153758062,58.8,17.1,15.5,18.0,29.1,5.0,53.7,0.4,1.6,3.5,0.3,73.3,97.8,30.6,0.6658906560808706,0.02561088495610271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
